Fecha,BTC_price,BTC_supply,MarketCapBTC_USD,M2SL_USD,m2_published,TxVolumeUSD,TxTfrCnt,Gold_price,Dominance_dec,DMB,MC2,MC1,RV12,UC
2021-04-01,53584.15,18695600.0,1001787834740.0,20175300000000.0,True,258109418557.9914,269058.14285714284,1767.7,0.5188433333333333,-3.0026728454681617,-4.358830764962733,-4.241115980342689,1.897659182676095,0.07540904764064012
2021-05-01,38445.29,18723243.75,719820535709.4375,20458800000000.0,True,246755210309.01212,246414.0,1905.3,0.4233516129032258,-3.347166461777629,-4.417771592927852,-4.330507964037314,1.3066328077566711,-0.30902962970653286
2021-06-01,34456.67,18745362.5,645902769692.875,20477000000000.0,True,109060168959.48767,213407.0,1771.6,0.4300433333333333,-3.4564086029052614,-5.235157845317591,-4.475500526894322,1.3382740801439754,-0.2816743557429307
2021-07-01,42214.15,18772675.0,792472518351.25,20633200000000.0,True,91568082354.91605,220789.25,1817.2,0.44618709677419355,-3.2594988799572944,-5.4175739428964835,-4.442949007453839,1.4297884213532943,-0.21608854634963365
2021-08-01,49056.86,18802950.0,922413685737.0,20840600000000.0,True,116915846851.19855,239704.75,1818.1,0.43387741935483876,-3.117664480299404,-5.183203867914018,-4.362361093720595,1.5322133394623962,-0.2660485780097755
2021-09-01,41011.16,18830950.0,772279103402.0001,20981000000000.0,True,108141642735.0989,253299.2857142857,1757.0,0.4042766666666667,-3.3020265276650522,-5.267930670599847,-4.308685334702158,1.4064022775308134,-0.38767689141009865
2021-10-01,61731.29,18860212.5,1164265247299.125,21160600000000.0,True,162509041169.96957,281465.5,1783.9,0.4322451612903226,-2.900050762939557,-4.869162602766652,-4.204799941013744,1.561360330666555,-0.27269677329351805
2021-11-01,54801.15,18887568.75,1035060488204.0625,21335700000000.0,True,171134842827.404,277278.625,1776.5,0.4068966666666667,-3.02592185831959,-4.8256852047174945,-4.221236379479222,1.1307902945623913,-0.37680937606348397
2021-12-01,46408.87,18916243.75,877881497082.0625,21498700000000.0,True,161322902634.0888,254818.85714285713,1828.6,0.3851166666666666,-3.198236131800252,-4.892339784307457,-4.307223361012821,0.5108731758517565,-0.4678862292274128
2022-01-01,37918.62,18945362.5,718382001399.75,21650000000000.0,True,138270887847.72226,246287.75,1796.4,0.3821193548387097,-3.4057592704873563,-5.053546016934631,-4.342813889810461,0.24993240841584347,-0.4805623009717013
2022-02-01,37704.56,18970968.75,715292029492.5,21724800000000.0,True,111979274349.76581,249761.2857142857,1900.7,0.3952035714285714,-3.413518851942672,-5.2678959403847,-4.330159524547219,-0.3894560360453255,-0.42549091685955936
2022-03-01,46858.53,18999356.25,890281904821.3125,21786900000000.0,True,139279439456.87564,255837.5,1951.1,0.40078387096774193,-3.197525991160058,-5.052581879848195,-4.307617898690069,-0.3029792711658758,-0.402200042586847
2022-04-01,39770.04,19026968.75,756703308266.25,21769400000000.0,True,108620942821.75708,260239.0,1891.3,0.38854827586206897,-3.359289347328851,-5.300396360414737,-4.292012220085262,-0.365724607141242,-0.45341858110331357
2022-05-01,31715.58,19054937.5,604338394676.25,21719200000000.0,True,157528597256.658,262236.75,1845.2,0.41443225806451617,-3.581817643820544,-4.926344929289605,-4.285833811632428,-0.1603763451108769,-0.34567234490169907
