date,value
2020-03-08,302694.0
2020-03-12,349978.0
2020-03-16,270399.0
2020-03-20,284594.0
2020-03-24,278131.0
2020-03-28,240627.0
2020-04-01,281855.0
2020-04-05,240259.0
2020-04-09,286706.0
2020-04-13,288113.0
2020-04-17,284222.0
2020-04-21,310851.0
2020-04-25,280805.0
2020-04-29,331401.0
2020-05-03,281752.0
2020-05-07,341986.0
2020-05-11,305839.0
2020-05-15,310642.0
2020-05-19,274897.0
2020-05-23,269230.0
2020-05-27,292927.0
2020-05-31,258427.0
2020-06-04,318285.0
2020-06-08,317275.0
2020-06-12,318274.0
2020-06-16,340517.0
2020-06-20,284123.0
2020-06-24,312321.0
2020-06-28,264909.0
2020-07-02,339469.0
2020-07-06,338767.0
2020-07-10,345996.0
2020-07-14,359847.0
2020-07-18,311022.0
2020-07-22,364792.0
2020-07-26,298580.0
2020-07-30,327789.0
2020-08-03,333753.0
2020-08-07,326499.0
2020-08-11,349952.0
2020-08-15,313760.0
2020-08-19,333879.0
2020-08-23,288728.0
2020-08-27,328157.0
2020-08-31,302920.0
2020-09-04,298286.0
2020-09-08,332668.0
2020-09-12,300152.0
2020-09-16,342609.0
2020-09-20,259095.0
2020-09-24,316552.0
2020-09-28,295476.0
2020-10-02,315443.0
2020-10-06,317922.0
2020-10-10,298486.0
2020-10-14,314541.0
2020-10-18,231557.0
2020-10-22,339087.0
2020-10-26,252494.0
2020-10-30,268364.0
2020-11-03,331673.0
2020-11-07,270901.0
2020-11-11,322277.0
2020-11-15,252715.0
2020-11-19,311061.0
2020-11-23,297840.0
2020-11-27,322445.0
2020-12-01,378068.0
2020-12-05,282599.0
2020-12-09,321079.0
2020-12-13,276160.0
2020-12-17,309481.0
2020-12-21,269834.0
2020-12-25,303901.0
2020-12-29,336311.0
2021-01-02,297111.0
2021-01-06,397384.0
2021-01-10,331865.0
2021-01-14,338809.0
2021-01-18,313816.0
2021-01-22,326935.0
2021-01-26,336935.0
2021-01-30,312313.0
2021-02-03,344425.0
2021-02-07,286364.0
2021-02-11,304739.0
2021-02-15,308496.0
2021-02-19,341586.0
2021-02-23,287884.0
2021-02-27,320784.0
2021-03-03,333402.0
2021-03-07,260739.0
2021-03-11,291245.0
2021-03-15,292231.0
2021-03-19,316180.0
2021-03-23,314234.0
2021-03-27,288259.0
2021-03-31,332749.0
2021-04-04,246007.0
2021-04-08,278534.0
2021-04-12,291369.0
2021-04-16,219704.0
2021-04-20,279977.0
2021-04-24,290690.0
2021-04-28,277126.0
2021-05-02,235214.0
2021-05-06,311380.0
2021-05-10,303297.0
2021-05-14,266055.0
2021-05-18,221018.0
2021-05-22,223800.0
2021-05-26,230753.0
2021-05-30,179795.0
2021-06-03,255621.0
2021-06-07,235479.0
2021-06-11,216502.0
2021-06-15,241861.0
2021-06-19,187042.0
2021-06-23,232704.0
2021-06-27,124640.0
2021-07-01,230253.0
2021-07-05,223760.0
2021-07-09,227511.0
2021-07-13,229916.0
2021-07-17,182047.0
2021-07-21,235680.0
2021-07-25,174535.0
2021-07-29,262612.0
2021-08-02,239277.0
2021-08-06,260810.0
2021-08-10,260968.0
2021-08-14,209074.0
2021-08-18,247333.0
2021-08-22,190631.0
2021-08-26,258590.0
2021-08-30,250955.0
2021-09-03,283991.0
2021-09-07,276624.0
2021-09-11,218445.0
2021-09-15,268957.0
2021-09-19,200516.0
2021-09-23,268689.0
2021-09-27,255873.0
2021-10-01,277042.0
2021-10-05,312538.0
2021-10-09,246189.0
2021-10-13,288916.0
2021-10-17,215883.0
2021-10-21,320743.0
2021-10-25,284680.0
2021-10-29,305733.0
2021-11-02,297402.0
2021-11-06,236233.0
2021-11-10,301025.0
2021-11-14,224016.0
2021-11-18,293867.0
2021-11-22,279165.0
2021-11-26,292645.0
2021-11-30,293876.0
2021-12-04,253674.0
2021-12-08,266110.0
2021-12-12,214808.0
